startdate,enddate,uid_r,text,gods_involved
04-01,04-01,V651-2,4/1: The celebration of Zhaoli daye 昭利大爷 and Erye 二爷 is held.,"['Erye', 'Zhaoli daye']"
04-15,04-15,V651-3,4/15: The celebration of Huiying shenghou 惠应圣侯 is held.,['Huiying shenghou']
07-23,07-23,V651-4,7/23: The celebration of Zhanggong shengjun 张公圣君 is held.,['Zhanggong shengjun']
08-23,08-23,V651-5,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held.,"['Tiangong', 'Tiangong yuanshuai']"
10-01,10-01,V651-6,"10/1: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held. On each of these occasions, opera is performed for three days. These events are organized by the village as a whole, and funding is raised on a per capita basis.","['Houtu furen', 'Zunzhu mingwang']"
02-01,02-01,V652-1,"2/1: The celebration of Tian 田, Jin 金, and Weng 翁 Daren 大人 is held. Each year with an intercalary second month these gods go on procession through the entire village.",['Daren']
04-09,04-09,V652-2,4/9: The celebration of Tiangong yuanshuai 田公元帅 is held.,"['Tiangong', 'Tiangong yuanshuai']"
03-23,03-23,V652-3,3/23: The celebration of Tianshang shengmu 天上圣母 is held.,['Tianshang shengmu']
03-28,03-28,V652-4,3/28: The celebration of Zhusheng dadi 注生大帝 is held.,['Zhusheng dadi']
04-15,04-15,V652-5,4/15: The celebration of Caoli jiangjun 曹吏将军 and Zhugong daren 朱公 大人 is organized by Fuxingshê 福兴社.,['Zhugong daren']
06-24,06-24,V652-6,6/24: The celebration of Mei boye 梅伯爷 is held.,['Mei boye']
07-01,07-01,V652-7,7/1: The celebration of Lubu dashen 鲁部大神 is held.,['Lubu dashen']
08-06,08-06,V652-8,8/6: The celebration of Bai daren 白大人 is held.,['Bai daren']
08-18,08-18,V652-9,8/18: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人诞 is organized by the Fuxingshê 福兴社 and the Wenxiashê 文霞社 separately.,"['Houtu furen', 'Zunzhu mingwang']"
09-18,09-18,V652-10,9/18: The celebration of Li He tongzi 李鹤童子 is held.,[]
09-19,09-19,V652-11,"9/19: The celebration of Guanyin dashi 观音大士 is held. On these occasions, opera is performed for two, and in some cases three days. These events are organized by the village as a whole, or by specific shê and their communities, and funding is raised on a per capita basis.","['Guanyin', 'Guanyin dashi']"
01-09,01-09,V653-1,1/9: The celebration of Yuhuang dadi 玉皇大帝 is organized by the Tianyundian 天云殿.,['Yuhuang dadi']
02-25,02-25,V653-2,2/25: The celebration of Qitian dasheng 齐天大圣 is organized by Dongcuo 东厝.,['Qitian dasheng']
03-15,03-15,V653-3,3/15: The celebration of Guangli longwang 广利龙王 is held.,[]
04-26,04-26,V653-4,4/26: The celebration of Yanggong taishi 杨公太师 is organized by Xida 西大.,['Yanggong taishi']
05-10,05-10,V653-5,5/10: The celebration of Wang duyuanshuai 王都元帅 is organized by Dongcuo 东厝.,[]
05-16,05-16,V653-6,5/16: The celebration of Tiandi 天地 is organized by Tianyundian 天云殿.,['Tiandi']
08-01,08-01,V653-7,8/1: The celebration of Wengong yuanshuai 温公元帅 is organized by Tianyundian 天云殿.,[]
08-15,08-15,V653-8,8/15: The celebration of Li daren 李大人 is organized by Chongxingfu 重兴府.,['Li daren']
08-21,08-21,V653-9,8/21: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held and opera is performed for three days.,"['Houtu furen', 'Zunzhu mingwang']"
08-22,08-22,V653-10,8/22: The celebration of Puji shenghou 普济圣侯 is organized by Tianxia 田下.,['Puji shenghou']
08-23,08-23,V653-11,8/23: The celebration of Haotian dizi 昊天帝子 (Tiangong yuanshuai 田公 元帅) is organized by Qianting 前亭.,"['Haotian dizi', 'Tiangong', 'Tiangong yuanshuai']"
09-15,09-15,V653-12,9/15: The celebration of Heshi jiuxian 何氏九仙 is organized by Guangfuci 广福祠.,['Heshi jiuxian']
09-28,09-28,V653-13,9/28: The celebration of Mayang zungong 马洋尊公 is organized by Dongcuo 东厝.,[]
11-01,11-01,V653-14,"11/1: The celebration of Zhugong yuanshuai 朱公元帅 is organized by Shangxing 上兴. On these occasions, unless otherwise specified opera is performed for two days. These events are organized by the village as a whole, or by specific temples and their communities, and funding is raised on a per capita basis.",[]
04-13,04-13,V654-1,4/13: The celebration of Qincha Tian daren 钦差田大人 is held.,[]
05-05,05-05,V654-2,5/5: The celebration of Leixian shengjie 雷贤圣姐 is held.,['Leixian shengjie']
07-03,07-03,V654-3,7/3: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held together with Bancheng village 半埕.,"['Houtu furen', 'Zunzhu mingwang']"
07-23,07-23,V654-4,7/23: The celebration of Zhanggong shengjun 张公圣君 is held.,['Zhanggong shengjun']
08-23,08-23,V654-5,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held.,"['Tiangong', 'Tiangong yuanshuai']"
10-10,10-10,V654-6,"10/10: The celebration of Qinchai Ma daren 钦差马大人 is held. On these occasions, opera is performed for two days These events are organized by the village as a whole, and funding is raised on a per capita basis.",['Ma daren']
02-25,02-25,V655-1,2/25: The celebration of Qitian dasheng 齐天大圣 is held.,['Qitian dasheng']
03-03,03-03,V655-2,3/3: The celebration of Xuantian shangdi 玄天上帝 is held.,['Xuantian shangdi']
04-03,04-03,V655-3,4/3: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后 土夫人 is held.,"['Houtu furen', 'Zunzhu mingwang']"
05-05,05-05,V655-4,5/5: The celebration of Leixian shengjie 雷贤圣姐 is held.,['Leixian shengjie']
07-23,07-23,V655-5,7/23: The celebration of Zhanggong shengjun 张公圣君 is held.,['Zhanggong shengjun']
08-23,08-23,V655-6,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held.,"['Tiangong', 'Tiangong yuanshuai']"
10-07,10-07,V655-7,10/7: The celebration of Peng daren 彭大人 is held.,['Peng daren']
10-19,10-19,V655-8,10/19: The celebration of Li daren 李大人 is held.,['Li daren']
11-10,11-10,V655-9,"11/10: The celebration of Liugong yuanshuai 刘公元帅 is held. On these occasions, opera is performed for two days. These events are organized by the village as a whole, and funding is raised on a per capita basis.",['Liugong yuanshuai']
02-12,02-12,V656-1,2/12: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后 土夫人 is held.,"['Houtu furen', 'Zunzhu mingwang']"
05-16,05-16,V656-2,5/16: The celebration of Yuhuang dadi 玉皇大帝 is held.,['Yuhuang dadi']
07-07,07-07,V656-3,7/7: The celebration of Zhongtian dasheng 中天大圣 is held.,['Zhongtian dasheng']
08-23,08-23,V656-4,"8/23: The celebration of Tiangong yuanshuai 田公元帅 is held. On these occasions, opera is performed for two days These events are organized by the village as a whole, and funding is raised on a per capita basis.","['Tiangong', 'Tiangong yuanshuai']"
03-03,03-03,V657-1,3/3: The birthday celebration of Xuantian shangdi is 玄天上帝 held. Opera is performed. Daoist masters are invited to conduct rituals.,['Xuantian shangdi']
08-23,08-23,V657-2,8/23: The celebration of Tiangong yuanshuai 田公元帅 is held with two to three days of opera.,"['Tiangong', 'Tiangong yuanshuai']"
02-25,02-25,V658-1,2/25: The celebration of Qitian dasheng 齐天大圣 is held.,['Qitian dasheng']
03-15,03-15,V658-2,3/15: The celebration of Ciji zhenjun 慈济真君 is held.,['Ciji zhenjun']
03-09,03-09,V658-3,3/9: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held.,"['Houtu furen', 'Zunzhu mingwang']"
08-15,08-15,V658-4,8/15: The celebration of Guogong daren 郭公大人 is held and opera is performed for thirty days.,['Guogong']
10-22,10-22,V658-5,"10/22: The celebration of Taiyi xiangu 太乙仙姑 is held. On these occasions, with the exception of the month of opera for Guogong daren 郭公大人, opera is performed for two days. These events are organized by the village as a whole, and funding is raised on a per capita basis.","['Guogong', 'Taiyi xiangu']"
03-06,03-06,V659-1,"3/6: The celebration of Zunzhu mingwang 尊主明王, Houtu furen 后土 夫人 is held.","['Houtu furen', 'Zunzhu mingwang']"
03-17,03-17,V659-2,3/17: The celebration of Xuantan yuanshuai 玄坛元帅 is held.,['Xuantan yuanshuai']
04-08,04-08,V659-3,4/8: The celebration of Shijia mouni 释伽牟尼 and Tiangong yuanshuai 田公元帅 is organized by the Chongxing chenshê 重兴陈社.,"['Tiangong', 'Tiangong yuanshuai']"
05-13,05-13,V659-4,5/13: The celebration of Sima shengwang 司马圣王 is organized by the Chongxing yushê 重兴俞社.,['Sima shengwang']
05-16,05-16,V659-5,5/16: The celebration of Tiandi 天地 is held.,['Tiandi']
06-06,06-06,V659-6,6/6: The celebration of Fude zhengshen 福德正神 is held.,['Fude zhengshen']
06-19,06-19,V659-7,6/19: The celebration of Guanyin 观音 is organized by the Chongxing Linshê 重兴林社.,['Guanyin']
11-09,11-09,V659-8,"11/9: The celebration of Jialuo dasheng 伽罗大圣 is organized by the Shangyuan Lishê 上元李社. On these occasions, opera is performed for two to three days. These events are organized by the village as a whole, or by specific temples and their communities, and funding is raised on a per capita basis.",['Jialuo dasheng']
01-09,01-09,V660-1,1/9: The birthday celebration of Yuhuang dadi 玉皇大帝 (worshipped at Donglaisi 东来寺).,['Yuhuang dadi']
03-03,03-03,V660-2,3/3: The birthday celebrations for Yuantian shangdi 元天上帝.,['Yuantian shangdi']
08-15,08-15,V660-3,"8/15: The birthday celebrations for Shuntian shengmu 顺天圣母, Shêgong 社公 Shêma 社妈, and Wang zhongjun 王中军. The board of directors of the temple are responsible for organizing the ritual, the feast, and the opera performance. Each shê collects contributions on a per capita basis. There are also voluntary personal donations towards opera performances and transfers from Overseas Chinese.","['Shuntian shengmu', 'Wang zhongjun']"
02-13,02-13,V660-4,All the birthday celebrations of the other gods are each the responsibility of individual she: 2/13: The celebration of the celebration of Jinda jiangjun 金大将军 is organized by Xiajieshê 下街社.,['Jinda jiangjun']
02-25,02-25,V660-5,2/25: The celebration of Qitian dasheng 齐天大圣 is organized by Dongshê 东社.,['Qitian dasheng']
04-18,04-18,V660-6,4/18: The celebration of Tiangong yuanshuai 田公元师 is organized by Lishê 荔社.,"['Tiangong', 'Tiangong yuanshuai']"
05-18,05-18,V660-7,5/18: The celebration of Chen taiwei 陈太尉 is organized by Shoushê 首社.,['Chen taiwei']
06-17,06-17,V660-8,6/17: The celebration of Kang yuanshuai 康元帅 is organized by Shoushê 首社.,[]
07-23,07-23,V660-9,7/23: The celebration of Zhanggong shengjun 张公圣君 is organized by Dongshê 东社.,['Zhanggong shengjun']
09-28,09-28,V660-10,9/28: The celebration of Ma yuanshuai 马元帅 is organized by Lishê 李社.,"['Ma yuanshuai', 'Wen-Kang-Ma-Zhao yuanshuai']"
09-13,09-13,V660-11,9/13: The celebration of Dutian yuanshuai 都天元帅 is organized by Guanqianshê 观前社.,['Dutian yuanshuai']
07-23,07-23,V660-12,7/23: The celebration of Zhaogong yuanshuai 赵公元帅 is organized by Houdushê 后度社. Each shê receives funds from Overseas Chinese to be used for The birthday celebrations. Contributions are either collected on a per capita basis or by personal donations for additional opera performances.,['Zhaogong yuanshuai']
07-23,07-23,V661-1,"7/23: The celebration of Zhanggong shengjun 张公圣君 on 7/23 is the most grand. Opera is usually performed for several days. A group of the eldest residents, called “county elders” (Xianlao) 县老 serve as the head persons (Touren) 头人 in charge of the ritual activities. Funds are collected on a per capita basis. Transfers from Overseas Chinese are also made at times. Apart from these celebrations, marionette plays are also usually performed for the birthday celebration of Zhugong yuanshuai 朱公元帅. For the other the birthday celebrations of the other deities, there is a feast set up inside the temple with worship offerings.",['Zhanggong shengjun']
02-25,02-25,V662-1,The following god’s birthdays are organized by the village as a whole: 2/25 and 9/25: The birthday celebration of Qitian dasheng 齐天大圣.,['Qitian dasheng']
03-03,03-03,V662-2,3/3: The birthday celebration of Xuantian shangdi 玄天上帝.,['Xuantian shangdi']
06-06,06-06,V662-3,6/6: The birthday celebration of Shêgong 社公 and Shêma 社妈.,[]
08-15,08-15,V662-4,8/15: The birthday celebration of Zhugong 朱公. The most grand birthday celebration is that of the “temple master” 宫主 Zhugong 朱公. Opera is performed for several days. Funds are collected on a per capita basis.,[]
04-14,04-14,V662-5,All other gods have their own celebrations organized by each jia 甲: 4/14: The birthday celebration of Ma yuanshuai 马元帅 is organized by the Wang 王 and the Fang 方 of Magongjia 马公甲.,"['Ma yuanshuai', 'Wen-Kang-Ma-Zhao yuanshuai']"
04-14,04-14,V662-6,4/14: The birthday celebration of Chen taiwei 陈太尉 is organized by the Chen 陈 of Chengongjia 陈公甲.,['Chen taiwei']
07-23,07-23,V662-7,7/23: The birthday celebration of Zhanggong 张公 is organized by the Lin 林 and the Zhuo卓 of Zhanggongjia 张公甲.,[]
08-15,08-15,V662-8,"8/15: The birthday celebration of Zhugong 朱公 is organized by the Weng 翁, Wu 吴, and Chen 陈 of Zhugongjia 朱公甲.",[]
08-12,08-12,V662-9,8/12: The birthday celebration of Hangong 韩公 is organized by the Liu 刘 of Hangongjia 韩公甲.,['Hangong']
09-09,09-09,V662-10,"9/9: The birthday celebration of Dutian yuanshuai 都天元帅 is organized by the Zhuo 卓, Cai 蔡, Weng 翁, and Lin 林 of Ligongjia 李公甲. Each jia 甲 selects its own head persons (Touren) 头人 to organize The birthday celebrations of the gods. Opera is usually performed for two to three days using either transfers from Overseas Chinese or contributions collected on a per capita basis. Tianshang shengmu 天上圣母 and Taiyi xiangu 太乙仙姑 do not have the birthday celebrations.","['Dutian yuanshuai', 'Taiyi xiangu', 'Tianshang shengmu']"
04-07,04-07,V663-1,On 4/7 and 8/23: The birthday celebrations for Tiangong yuanshuai 田公 元帅 are held. Opera is performed for several days. Each household contributes 1 yuan 元 per capita. There are also transfers from Overseas Chinese and personal donations. The birthday celebrations of the other gods only have a feast set up with offerings.,"['Tiangong', 'Tiangong yuanshuai']"
02-25,02-25,V664-1,"2/25 and on 9/25: The birthday celebrations for Qitian dasheng 齐天大圣 is organized by the entire village. Each jia 甲 has two board members, and funds are collected on a per capita basis.",['Qitian dasheng']
02-25,02-25,V664-2,2/25: An additional birthday celebration of Qitian dasheng 齐天大圣 is organized by the Sheshê 佘社.,['Qitian dasheng']
05-13,05-13,V664-3,5/13: The birthday celebration of Sima shengwang 司马圣王 is organized by the entire village.,['Sima shengwang']
06-10,06-10,V664-4,6/10: The birthday celebration of Yidian zhenjun 一殿真君 is organized by the Chenshê 陈社.,[]
07-07,07-07,V664-5,7/7: The birthday celebration of Wu’anwang 武按王 is organized by the Guoshê 郭社.,[]
07-13,07-13,V664-6,7/13: The birthday celebration of Beidou zhongtian dasheng 北斗中天大圣 is organized by the Caishê 蔡社. Each shê supplies contributions according to the number of people. Opera is performed for several days.,['Beidou zhongtian dasheng']
03-15,03-15,V665-1,"3/15: The birthday celebration of Ciji zhenjun 慈济真君 is held, and the entire village organizes the celebration. Opera is performed ten times. Funds are collected on a per capita basis. There are also transfers from Overseas Chinese and voluntary contributions.",['Ciji zhenjun']
03-23,03-23,V665-2,3/23 and 9/9: The birthday celebrations for Tianhou 天后 are held.,[]
04-13,04-13,V665-3,4/13: The birthday celebrations for Liugong 刘公 is organized by the Zhuoshê 卓社.,[]
05-05,05-05,V665-4,5/5: The birthday celebration of Shêgong 社公 is held. Each household prepares offerings in the temple.,[]
07-01,07-01,V665-5,7/1: The birthday celebration of Xiaogong 肖公 is organized by the Heshê 何社.,[]
07-23,07-23,V665-6,7/23: The birthday celebration of Zhanggong 张公 is organized by the Chenshê 陈社.,[]
08-15,08-15,V665-7,8/15: The birthday celebration of Jialuo dasheng 伽罗大圣 is organized by the Wenmingshê 文明社.,['Jialuo dasheng']
09-09,09-09,V665-8,9/9: The birthday celebration of Dutian yuanshuai 都天元帅 is organized by the Zhongshê 中社. The birthday celebrations of the gods are hosted by the first and last households of the hosting shê. Funds are collected on a per capita basis. Opera is performed for several days. Opera is not performed for the other birthday celebrations. Worship offerings are organized by the village temple.,['Dutian yuanshuai']
02-14,02-14,V666-1,2/14: The birthday celebration of Jinda jiangjun 金大将军 is organized by the Shentong 神童 spirit mediums. The birthday celebration of Jialuo dasheng 伽罗大圣 is organized by the Ma and the Guo 郭 surname groups.,"['Jialuo dasheng', 'Jinda jiangjun']"
04-08,04-08,V666-2,"4/8: The birthday celebration of Wuxian lingguan Ma yuanshuai 五显灵 官马元帅 is held. The worshipping is organized all together. Opera is performed, and funds are collected on a per capita basis. There are transfers from Overseas Chinese and personal donations.","['Ma yuanshuai', 'Wen-Kang-Ma-Zhao yuanshuai', 'Wuxian lingguan', 'Wuxian lingguan Ma yuanshuai']"
05-23,05-23,V666-3,5/23: The birthday celebration of Tiangong yuanshuai 田公元帅 is organized by Xincuo jia 新厝甲.,"['Tiangong', 'Tiangong yuanshuai']"
06-06,06-06,V666-4,"6/6: The birthday celebrations for Zhouguang pingwang 周广平王 is organized by Beitoucuo 北头厝. The birthday celebration of Jixiang dajiang 吉祥大将 and Zhenggong shenghou 郑公圣侯 is organized by the Jiucuo 旧厝. All other the birthday celebrations are organized all together by the temple. Opera is usually not performed. For the birthday celebrations for Mazu 妈祖 and Guanyin 观音, each household takes care of its own offerings. There are also personal donations for operas and movies.","['Guanyin', 'Jixiang dajiang', 'Mazu', 'Tianshang shengmu', 'Zhenggong shenghou', 'Zhouguang pingwang']"
02-14,02-14,V667-1,2/14: The birthday celebration of Jinda jiangjun 金大将军 is held.,['Jinda jiangjun']
04-08,04-08,V667-2,4/8: The birthday celebration of Wuxian dadi 五显大帝 is held.,['Wuxian dadi']
09-28,09-28,V667-3,9/28: The birthday celebration of Yishan dadi 意山大帝 is held. A feast is set up to worship the gods. Opera is performed for two to three days each time. Funds are collected on a per household basis. There are also personal donations.,[]
02-25,02-25,V668-1,2/25: The celebration of Qitian dasheng 齐天大圣 and Hei bai jiang 黑白将 is organized by Houchengfang 后埕房.,['Qitian dasheng']
06-08,06-08,V668-2,6/8: The celebration of Shuitou wang 水头王 is organized by Liudongfang 六冬房.,[]
07-23,07-23,V668-3,7/23: The celebration of Zhanggong 张公 is organized by Biandongfang 便 东房.,[]
08-22,08-22,V668-4,8/22: The celebration of Puji shenghou 普济圣侯 is organized by the entire village.,['Puji shenghou']
09-09,09-09,V668-5,9/9: The celebration of Dutian yuanshuai 都天元帅 is organized by Wumenfang 乌门房. The birthday celebration of Liumihou 六猕猴 is organized by Beitou 陂头.,"['Dutian yuanshuai', 'Liumihou']"
04-26,04-26,V671-1,4/26: The birthday celebration of Yanggong taishi 杨太师 is organized by the whole village.,['Yanggong taishi']
05-13,05-13,V671-2,5/13: The celebration of Sima shengwang 司马圣王 is organized by the Li 李 of Qiannei 前内.,['Sima shengwang']
07-07,07-07,V671-3,7/7: The celebration of Wuan shengwang 武按圣王 is organized by the Li 李 of Houying 后营.,['Wuan shengwang']
07-13,07-13,V671-4,7/13: The celebration of Beidou zhongtian 北斗中天 is organized by the Li 李 of Xiacuo 下厝.,[]
09-19,09-19,V671-5,9/19: The celebration of Dutian yuanshuai 都天元帅 is organized by the Guo 郭 of Weicuo 尾厝.,['Dutian yuanshuai']
01-09,01-09,V672-1,1/9: The celebration of Yuhuang dadi 玉皇大帝 is organized by the 戴 of Shandou 山兜.,['Yuhuang dadi']
02-25,02-25,V672-2,2/25: Qitian dasheng 齐天大圣 organized by the Xue 薛 and the Chen 陈 of Shiqiu 狮球.,['Qitian dasheng']
03-23,03-23,V672-3,3/23: The celebration of Tianshang shengmu 天上圣母 is organized by the 戴 of Shandou 山兜.,['Tianshang shengmu']
04-08,04-08,V672-4,4/8: The celebration of Tiangong yuanshuai 田公元帅is organized by Shipaihou 石牌后.,"['Tiangong', 'Tiangong yuanshuai']"
04-26,04-26,V672-5,4/26: The celebration of Yanggong taishi 杨公太师 is organized by the Xue 薛 and the Chen 陈 of Shiqiu 狮球.,['Yanggong taishi']
08-09,08-09,V672-6,8/9: The celebration of Baiya zhongjun 白牙中军 is organized by Shipaihou 石牌后.,['Baiya zhongjun']
08-20,08-20,V672-7,8/20: The celebration of Tiangong yuanshuai 田公元帅 is organized by the Xue 薛 and the Chen 陈 of Shiqiu 狮球.,"['Tiangong', 'Tiangong yuanshuai']"
09-25,09-25,V672-8,9/25: The celebration of Qitian dasheng 齐天大圣 and Wenchang dijun 文昌帝君 are organized by the Lin 林 and the Zheng 郑 of Sishui 泗水.,"['Qitian dasheng', 'Wenchang dijun']"
01-22,01-22,V673-1,1/22: The celebration for Baiya zhongjun 白牙中军 is organized by Yanlingshê 延陵社.,['Baiya zhongjun']
03-23,03-23,V673-2,3/23: The celebration for Mazu 妈祖 is organized by the entire village.,"['Mazu', 'Tianshang shengmu']"
05-13,05-13,V673-3,5/13: The celebration for Sima shengwang 司马圣王 is organized by Sheanshê 佘安社. 7/ 3: The celebration for Chengong sheren 陈公舍人 is organized by Sheanshê 佘安社.,"['Chengong sheren', 'Sima shengwang']"
07-07,07-07,V673-4,7/7: The celebration for Wu’an shengwang 武按圣王 is held.,[]
07-13,07-13,V673-5,7/13: The celebration for Beidou zhongtian dasheng 北斗中天大圣 is organized by the Lipushê 荔谱社.,['Beidou zhongtian dasheng']
08-23,08-23,V673-6,8/23: The celebration for Tiangong yuanshuai 田公元帅 is organized by the Yanlingshê 延陵社.,"['Tiangong', 'Tiangong yuanshuai']"
09-14,09-14,V673-7,9/14: The celebration for Chengong shenghou 陈公圣侯 is organized by the Jiyangshê 济阳社.,['Chengong shenghou']
09-14,09-14,V673-8,9/14: The celebration for Zhenggong dutong 郑公都统 and Jin dajiangjun 金大将军 is organized by Xiheshê 西河社.,['Zhenggong dutong']
09-15,09-15,V673-9,"9/15: The celebration for Liugong taibao 刘公太保 is organized by Lipushê 荔谱社. The celebrations at each shê usually entails several days of opera performance. The ritual is mostly organized by the Fushou 福首, and funds are collected on a per capita basis. All other birthday celebrations only have a feast set up with the worship offerings. No opera is performed. As for the birthday celebrations for Qitian dasheng 齐天大圣, Tiangong yuanshuai 田公元帅, and Peng taishan 彭泰山 carried out by the Qingyuntang 庆云堂, the Yanlingshê 延陵社 organizes the offerings and rituals. Marionette plays are mostly performed.","['Liugong taibao', 'Peng taishan', 'Qitian dasheng', 'Tiangong', 'Tiangong yuanshuai']"
05-13,05-13,V674-1,5/13: The birthday celebration of Sima shengwang 司马圣王 is held.,['Sima shengwang']
07-07,07-07,V674-2,7/7: The birthday celebration of Wuan shengwang 武按圣王 is held. Opera is performed in front of Weixianmiao 威显庙. The village temple organizes a feast set up with offerings. Funds are collected on a per capita basis.,['Wuan shengwang']
04-15,04-15,V675-1,The birthday celebrations for all the gods of Weixianidian 威显殿 are organized by each shê separately: 4/15: The celebration of Qiugong jiangjun 邱公将军 is organized by Zhangfangtou 长房头.,['Qiugong jiangjun']
04-19,04-19,V675-2,"4/19: The celebration for Longwang 龙王 is organized by the Liuzu 六祖, Bazu 八祖 and Weicuo 尾厝 neighborhoods together; 7/15: The celebration for Beidou zhongtian dasheng 北斗中天大圣 is organized by the Liuzu 六祖, Bazu 八祖 and Weicuo 尾厝 neighborhoods together; 8/23: The celebration for Tiangong yuanshuai 田公元帅 is organized by the Shangjia and Xiajia 上下甲 neighborhoods together.","['Beidou zhongtian dasheng', 'Longwang', 'Tiangong', 'Tiangong yuanshuai']"
10-15,10-15,V675-3,10/15: The celebration for Liugong yuanshuai 刘公元帅 is organized by Zhangfangtou 长房头.,['Liugong yuanshuai']
10-23,10-23,V675-4,"10/23: The celebration for Qingshan wanggong 青山王公 is organized by Erfangtou 二房头. Every year, each shê has several Fushous 福首. Funds are collected on a per capita basis.",['Qingshan wanggong']
03-03,03-03,V677-1,The following celebrations are organized by the village as a whole: 3/3: The celebration of Yuantian shangdi 元天上帝 is held.,['Yuantian shangdi']
05-05,05-05,V677-2,5/5: The celebration of Lingguan dadi 灵官大帝 is held.,['Lingguan dadi']
08-13,08-13,V677-3,8/13: The celebration of Zunzhu mingwang 尊主明王 is held.,['Zunzhu mingwang']
10-10,10-10,V677-4,"10/10: The celebration of Taiyi xiangu 太乙仙姑 is held. On these occasions, funds are collected according to the total population of the entire village.",['Taiyi xiangu']
03-16,03-16,V677-5,All other the birthday celebrations are paid for by each jia as follows: 3/16: The celebrations of Xuantan yuanshuai 玄坛元帅 is sponsored by Weicuo 尾厝.,['Xuantan yuanshuai']
04-18,04-18,V677-6,4/18: The celebrations of Liugong yuanshuai 刘公元帅 is sponsored by Houcuo 后厝.,['Liugong yuanshuai']
07-07,07-07,V677-7,7/7: The celebration of Kanggong yuanshuai 康公元帅 is sponsored by Weicuo 尾厝.,['Kanggong yuanshuai']
07-23,07-23,V677-8,7/23: The celebration of Zhanggong shengjun 张公圣君 is sponsored by Shimen 石门.,['Zhanggong shengjun']
09-09,09-09,V677-9,"9/9: The celebration of Jixiang dajiang 吉祥大将 is sponsored by Jingtou 井头. All the birthday celebrations are hosted by a group of the married men of the village, selected by means of sortition (Nianjiu) 拈阄.",['Jixiang dajiang']
04-15,04-15,V678-1,4/15: The birthday celebration for Dutian yuanshuai 都天元帅 is held.,['Dutian yuanshuai']
07-23,07-23,V678-2,7/23: The celebration of Zhanggong shengjun 张公圣君 is held.,['Zhanggong shengjun']
08-14,08-14,V678-3,"8/14: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held. On each of these occasions opera is performed for several days. All other the birthday celebrations of the gods only have offerings set up, but no opera. Each jia 甲 take turns to be the host, and funds are collected on a per capita basis. The birthday celebration of all the gods of Jinshangong 金山宫 are organized by the residents of Houcheng pu 后埕埔.","['Houtu furen', 'Zunzhu mingwang']"
09-25,09-25,V678-4,"9/25: The celebration of Qitian dasheng 齐天大圣 is held and opera is performed. For the other god’s birthday celebrations, only tables of offerings are set up.",['Qitian dasheng']
04-19,04-19,V679-1,The Jiaxingshê 嘉兴社 is the center of organization for the following events: 4/19: The celebration of the Sihai longwang 四海龙王 (Dragon Kings of the Four Seas) is held.,['Sihai longwang']
08-12,08-12,V679-2,"8/12: The celebration of Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 is held (in this case, the day of consecration 开光日 is used as the birthday). These rites are organized by the two main village temples simultaneously. Personal donations are used to sponsor marionette plays. Each household is responsible for their own worshipping offerings.","['Houtu furen', 'Zunzhu mingwang']"
03-03,03-03,V679-3,Jiaxingdian 嘉兴殿: 3/3: The celebration of Xuantian shangdi 玄天上帝 is held.,['Xuantian shangdi']
03-13,03-13,V679-4,3/13: The celebration of Ciji zhenjun 慈济真君 is held.,['Ciji zhenjun']
03-15,03-15,V679-5,3/15: The celebration of Zhao yuanshuai 赵元帅诞 is held.,[]
04-13,04-13,V679-6,4/13: The celebration of Wen yuanshuai 温元帅诞 is held.,[]
07-07,07-07,V679-7,7/7: The celebration of Kang yuanshuai 康元帅诞 is held.,[]
10-10,10-10,V679-8,10/10: The celebration of Taiyi jinxiangu 太乙金仙姑 is held. All of these celebrations are hosted by the Tanban 坛班 of the temple. The Tanban also set up the offering altars. Households can come to worship freely.,[]
01-04,01-04,V679-9,Various communities of the Guangrenmiao 广仁庙 host the following god’s birthdays: 1/4: The welcoming of the gods 接神 is hosted by the Li 李 of Qianmianwei 前面尾.,[]
01-09,01-09,V679-10,1/9: The celebration of Yuhuang dadi 玉皇大帝 is organized by the Li李 of Tianzhongyang 田中央.,['Yuhuang dadi']
03-15,03-15,V679-11,3/15: The celebration of Ciji zhenjun 慈济真君 is organized by the Li 李 of Sifangtou 四房头.,['Ciji zhenjun']
04-13,04-13,V679-12,4/13: The celebration of Wengong yuanshuai 温公元帅 is organized by a Shenminghui 神明会 (a god association).,[]
07-07,07-07,V679-13,"7/7: The celebration of Kang yuanshuai 康元帅诞 is organized by the Zhou 周, Tang 汤, and You 游, taking turns annually.",[]
09-09,09-09,V679-14,9/9: The celebration of Dutian yuanshuai 都天元帅 is organized by the Li 李 of Sifangtou 四房头.,['Dutian yuanshuai']
